airline_sentiment,text,geographic_location,ethnicity,age,device
negative,@AmericanAir understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day,"Lincoln, NE",Hispanic,50,mobile
positive,@SouthwestAir and thanks!,"Chandler, AZ",Caucasian,42,laptop
negative,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA,"Toledo, OH",Hispanic,22,laptop
positive,@JetBlue Oh that totally looks on par with @AmericanAir's Admirals Club; any way you can slide us a couple passes? ;),"Rochester, NY",Native American,31,mobile
negative,@AmericanAir We've 15 official complaints signed by #AmericanAirlines Lima supervisor. Customer Relations pls compensate 4 the 10-hour delay,"Portland, OR",Caucasian,49,laptop
negative,@JetBlue but the 4 hour policy- when I called and they said I didn't report it soon enough. What would have changed if I had noticed sooner?,"Henderson, NV",Caucasian,30,mobile
negative,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?","Durham, NC",Hispanic,64,laptop
negative,@SouthwestAir Hi I just got a message that part of my flights is Cancelled Flightled. I can't rebook online and nobody answers my phone call. Help me,"Albuquerque, NM",Caucasian,25,laptop
negative,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.,"Plano, TX",Caucasian,19,laptop
neutral,@USAirways I'm supposed to fly through Dallas. Can you help me get a new itinerary?,"Los Angeles, CA",Hispanic,27,mobile
negative,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,"Pittsburgh, PA",Hispanic,39,tablet
positive,@united I am impressed with your super-fast reply to @CGJase,"Anchorage, AK",African American,60,laptop
negative,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,"Boston, MA",African American,26,mobile
negative,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways,"Tulsa, OK",Hispanic,31,mobile
negative,@SouthwestAir do you do auto callbacks so I don't have to wait on hold?,"Anchorage, AK",African American,33,tablet
neutral,@united can I get your service desk # at IAD?,"Sacramento, CA",Caucasian,47,mobile
positive,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.,"Tucson, AZ",Asian,24,tablet
positive,@united Yes ! :D (Y) From @therealaviation on Instagram :),"Aurora, CO",African American,27,mobile
negative,@JetBlue I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.,"Stockton, CA",Native American,59,laptop
neutral,"@JetBlue I want to enter the family pooling contest, it says ""by 2/19"" on the website, can I please enter still!","Memphis, TN",Caucasian,56,tablet
neutral,@USAirways and that you can choose the same seat for free after clicking 100 buttons.,"Wichita, KS",African American,42,tablet
negative,@united plus what about food? And taxis?,"El Paso, TX",Caucasian,56,mobile
negative,@USAirways 3hr30min right now...  any end in sight?,"Houston, TX",Caucasian,36,mobile
negative,"@SouthwestAir, you're really going to let @delta and @virginamerica get the best of you? http://t.co/vUdWJm1lYB","Anchorage, AK",Asian,54,laptop
negative,@USAirways claims flight Cancelled Flighted due to weather at destination but Delta has not Cancelled Flighted flight on same route.,"Miami, FL",African American,27,laptop
positive,"@JetBlue thanks so much for help Us, u r amazing!","Washington, D.C.",African American,31,tablet
negative,@AmericanAir haha I did. They said it wasn't their fault somehow? You guys r a joke,"Greensboro, NC",African American,28,laptop
negative,@AmericanAir your customer service is inferior to that of a nationalized third world nation's airline. Get it together.,"Atlanta, GA",Caucasian,24,tablet
negative,@AmericanAir Why does your iPhone app not have any sort of notifications option?,"Atlanta, GA",Asian,43,mobile
positive,@united thank you!,"Garland, TX",Caucasian,33,mobile
negative,@AmericanAir I've been trying to reach your customer service for TWO days. I have received zero response. Never traveling AA again.,"Saint Paul, MN",Caucasian,25,tablet
negative,@united flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on,"Riverside, CA",Hispanic,50,laptop
negative,"@united first you lost all my bags, now you Cancelled Flight my flight home. 30 min wait to talk to somebody #poorservice #notgoodenough","Plano, TX",Hispanic,50,laptop
negative,@SouthwestAir sat on a plane for 2+ hrs on 2/15! Then we finally took off.. :(,"Toledo, OH",Native American,42,mobile
neutral,@JetBlue ANYWHERE!! http://t.co/FeFHPmFPlE,"Norfolk, VA",Caucasian,35,laptop
negative,@USAirways I have to spend more than the cost of the flight just to get a free room and transportation to and from the airport,"Baltimore, MD",Caucasian,47,laptop
neutral,"@SouthwestAir understand the weather, these kids need to get home! Nice kids doing volunteer work from a RI high school, please help","Columbus, OH",Hispanic,42,mobile
neutral,"@AmericanAir My friend needs some help on her flt (she's not on Twiiter), can I DM you her info?","Seattle, WA",African American,54,mobile
negative,@AmericanAir my mom’s flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and it’s been 4. I need to go to bed!,"Philadelphia, PA",Caucasian,52,tablet
negative,@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Mon http://t.co/Q37pOWn6uv @Cowboycerrone figures right?,"Orlando, FL",Caucasian,40,tablet
neutral,@united Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http://t.co/U390cZpLHl,"Lincoln, NE",Caucasian,36,laptop
negative,"@united yo, you need a new website really badly. This day and age...","Omaha, NE",African American,24,tablet
positive,@SouthwestAir  @TheEllenShow @Imaginedragons  @kdepetro313 .what a great first night. #DestinationDragons http://t.co/N3LrFo4UaY,"Tulsa, OK",Caucasian,22,mobile
positive,@USAirways right on. Up. Up &amp; away ✈️🌞,"Fresno, CA",Hispanic,48,tablet
negative,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),"Anchorage, AK",African American,59,mobile
negative,@JetBlue Why would you charge money to transfer points to someone?,"Arlington, TX",Hispanic,47,mobile
neutral,"@USAirways Is it possible to earn Dividend Miles for a passenger that is not me, even if I am purchasing the tickets?","Raleigh, NC",Hispanic,43,tablet
positive,Lmfaooo “@JetBlue: Our fleet's on fleek. http://t.co/1G9RnmYUQe”,"Sacramento, CA",Asian,39,laptop
neutral,"@USAirways Is there a phone line to call into that isn't being affected by ""bad weather""? Trying to book a vacation, here... 👀","Akron, OH",Caucasian,59,mobile
negative,@AmericanAir I have never seen such incompetency from a gate agent in years of business travel DFW B16 gate agent needs training or new job,"Durham, NC",Hispanic,64,mobile
negative,@USAirways F623 DEN:PHX impressive lack of concern by 1hr+ Late Flight flight attndt wrecking havoc on customer travel #smugsmirk #norush,"Phoenix, AZ",African American,35,laptop
neutral,@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?,"Chicago, IL",Hispanic,50,mobile
negative,"@united even so, change could not be made  online- instructed to call an agent- maybe the syastem should allow agents 2 link passengers!","Phoenix, AZ",Caucasian,27,laptop
negative,"@united you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't","Chula Vista, CA",African American,35,tablet
positive,@AmericanAir finally called! Can't get met Seattle so refund will be processed. Thanks,"Austin, TX",Native American,59,mobile
neutral,"@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl","St. Louis, MO",African American,42,laptop
neutral,@SouthwestAir I'm not sure I did the messaging part right. Please let me know if you received it.,"Las Vegas, NV",Hispanic,44,mobile
neutral,@SouthwestAir booked the 8th.... Save me an emergency exit... Gotta stretch out,"Louisville, KY",Hispanic,15,mobile
negative,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?,"San Jose, CA",African American,49,laptop
neutral,@JetBlue no. Did not catch his name. I am sure Jason will know.,"Chula Vista, CA",Caucasian,64,mobile
negative,@USAirways. Yet another delay/missed connection....and your customer service has an attitude with me? Wow.,"Aurora, CO",Hispanic,26,mobile
negative,@USAirways No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease,"Garland, TX",African American,35,mobile
neutral,@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.,"San Jose, CA",Caucasian,59,laptop
neutral,@united LGJW7B. I voluntarily rerouted; 1st leg of journey was in economy and was supposed to be 8B. Res agent said she'd reserve it for me,"Sacramento, CA",Asian,61,laptop
negative,@SouthwestAir Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?,"Jacksonville, FL",African American,30,tablet
negative,@USAirways no my flight plans have been delayed until tuesday due to your computer crash,"Jersey City, NJ",Caucasian,30,tablet
positive,@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons,"Plano, TX",Caucasian,36,laptop
negative,@united big surprise #nogate waiting for our plane. Same fucken issues everything I fly you. #fail #worstairlineever,"Columbus, OH",Hispanic,49,mobile
negative,"@USAirways tough night, two 90 minute calls, on hold, delayed here in Phoenix for two days because of one aircraft not ready? Not acceptable","Chicago, IL",Caucasian,26,laptop
negative,@united but it's hard to stay upset at someone when they at least TRY to show remorse.,"Baltimore, MD",Caucasian,52,mobile
negative,@united 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad,"Norfolk, VA",Caucasian,49,tablet
negative,@USAirways 23 min on hold... Drove 2.5 hours to get my delayed bag. I just want to pick it up at SJU.,"Memphis, TN",African American,15,laptop
neutral,@USAirways how do I reserve my seat on the AA flight I transfer to from ORD to EVV?,"Fresno, CA",African American,33,laptop
neutral,@United to start 3xdaily @EmbraerSA #ERJ145 flights from #Chicago @fly2ohare to #Evansville on 4JUN #avgeek,"Norfolk, VA",Hispanic,15,laptop
negative,@united flight 1136 from Chicago to Houston over 2 hours and no pretzels or peanuts?! Seriously about passed out.,"Sacramento, CA",Caucasian,25,laptop
positive,@united I left my comment with customer care. Thanks for contacting me.,"Riverside, CA",Caucasian,24,mobile
positive,@united They held the plane! Made it!!,"Virginia Beach, VA",Caucasian,41,tablet
negative,"@AmericanAir That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this.","San Jose, CA",Hispanic,49,mobile
neutral,@VirginAmerica is that #thestarter??😁,"Sacramento, CA",Caucasian,59,laptop
positive,@JetBlue Learning about your awesome twitter management today in my Social Media Marketing class! keep up the good work! @SXU @PhD_Mama_,"New York, NY",Hispanic,55,mobile
negative,@AmericanAir dropping the ball. Again. No catering. Plane switch. No gate attendant. 2 hours Late Flight. Really nice.,"Corpus Christi, TX",African American,47,laptop
negative,@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir,"Plano, TX",Hispanic,58,tablet
neutral,@AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃,"Oklahoma City, OK",Asian,26,tablet
negative,@united I think problem resolution should be decided on your end. Especially if you'd like me to continue flying your airline.,"Buffalo, NY",African American,60,laptop
negative,@USAirways I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error. Awful,"Stockton, CA",Asian,47,laptop
positive,@united great. Looking forward to your response to my DM then,"Tucson, AZ",African American,31,laptop
negative,@united it's my 21st birthday and my sister is coming to celebrate but her flights keep Cancelled Flighting PLZ do all you can to get her here!!!!,"Wichita, KS",African American,49,mobile
negative,@USAirways UR employee named VAN @ ticket counter in #Philadelphia. EXTREMELY RUDE! a Father trying to get home to sick kid missed flight.,"Albuquerque, NM",African American,43,laptop
negative,@SouthwestAir Horrible experience ever with airline..Have to reconsider any future flights. Customer service ... http://t.co/EczHcmM5vi,"Seattle, WA",Asian,35,mobile
negative,"@AmericanAir for tomorrow some sites show flight 1642 from ewr Cancelled Flightled, is it?","Atlanta, GA",African American,60,mobile
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,"Colorado Springs, CO",Hispanic,47,mobile
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,"Chicago, IL",Hispanic,18,mobile
negative,@AmericanAir Unbelievable that I cannot even wait on hold to speak to a human being to resolve my issue!!!!!!!! The system simply hangs up!,"Nashville, TN",Hispanic,30,mobile
positive,"@AmericanAir continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh.","Oakland, CA",African American,15,tablet
neutral,@USAirways we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.,"Arlington, TX",Caucasian,25,mobile
negative,@USAirways the phone number the gate gave me doesn't work either. What is your customer service phone number?,"Arlington, TX",Caucasian,49,tablet
neutral,"@JetBlue flight 1041 to Savannah, GA","Greensboro, NC",Native American,34,laptop
negative,"@AmericanAir yes but you are still human I hope, dealing with all the horror stories people share... I complained to DOT. Everyone should","Charlotte, NC",Hispanic,56,mobile
negative,@JetBlue they are now being sent off the plane? Does anyone at JetBlue have a clue?,"Rochester, NY",Caucasian,64,laptop
neutral,@SouthwestAir do you have all winners for @Imaginedragons #DestinationDragons,"Chicago, IL",African American,31,tablet
negative,@united quick (serious) question - any resources/ratings showing the quality of service is better than 8th place? http://t.co/deWIthPeW2,"Norfolk, VA",African American,50,mobile
negative,@united can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......,"Kansas City, MO",African American,49,tablet
neutral,“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri,"Lexington, KY",Caucasian,52,tablet
negative,@SouthwestAir I'm stuck in Fort Lauderdale.,"St. Petersburg, FL",Caucasian,19,mobile
neutral,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.,"Chicago, IL",Hispanic,26,mobile
positive,@united Keep the flights cheap and early/on time and you are good. Flew @AmericanAir  and Cancelled Flightled my flight 4 times last month. United&gt;,"Milwaukee, WI",Asian,64,mobile
negative,"@JetBlue I believe it's Irina. On the flip-side, super disappointed that EatUp Cafe isn't available on this BOS --&gt; SFO flight today.","Seattle, WA",Native American,28,tablet
negative,@USAirways 5534. That's the flight I was placed on after original flight to Charlotte was Cancelled Flightled.  Now 5534 is on 1hr delay,"Sacramento, CA",Caucasian,21,laptop
negative,@USAirways The captain turned off the seat belt sign so people can get up and walk around.  That's not good.,"Boston, MA",Caucasian,49,tablet
negative,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother,"Mesa, AZ",Hispanic,35,laptop
negative,"@AmericanAir Call me Chairman, or call me Emerald. After what you did today to me, you can call me a former customer.","Chicago, IL",Asian,63,laptop
negative,"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes","Detroit, MI",African American,24,tablet
neutral,@united Thank you for your response!,"Fort Worth, TX",African American,36,tablet
negative,"@AmericanAir no one received text alerts, automated calls, anything either. Literally no information as to what was happening.","Aurora, CO",Hispanic,23,tablet
positive,@USAirways made it!!! Send Bloody Mary's to row 27!!!,"Columbus, OH",Asian,63,laptop
negative,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks","Phoenix, AZ",Native American,36,tablet
positive,@USAirways Thank You for your empathy there is more to this story than just the luggage but thank you for reaching out,"Fresno, CA",African American,24,tablet
positive,"@JetBlue Thanks JB. Actually, As a birder I love them too. They just need to be outside. It shouldn't be too hard to trap and move them.","Nashville, TN",Hispanic,39,mobile
negative,@USAirways flt 5302 CLT to DAY supposed to depart 5:51; the 6:20...still no crew. #schedule/contact the pilot!,"Lubbock, TX",Hispanic,61,mobile
neutral,@JetBlue to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2,"Riverside, CA",African American,64,laptop
negative,@united and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor. I'm furious right now.,"Minneapolis, MN",Asian,49,laptop
negative,@AmericanAir no you're not you're trying to book me PAST when i need 2 arrive but you're still selling seats on the day I'm trying 2 travel,"Buffalo, NY",Asian,59,tablet
negative,@USAirways @AmericanAir seriously with all the service issues you are having right now this is what you decide to tweet?? Unbelievable,"Oklahoma City, OK",African American,27,tablet
neutral,@AmericanAir will do. I also passed the website around to other passengers.,"Boston, MA",African American,59,tablet
neutral,@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl,"Arlington, TX",Caucasian,49,laptop
neutral,@AmericanAir well we cleared customs in AUH. I need to get to IAH after I arrive in DFW. Is it possible to retrieve my luggage in IAD?,"Chula Vista, CA",Caucasian,33,mobile
negative,@SouthwestAir @TaylorLumsden Taylor.  U gotta love SWA responsiveness at the@very least huh?,"Pittsburgh, PA",Caucasian,49,laptop
negative,"@AmericanAir flights been Cancelled Flightled, can't get through to the desk and nothing showing online under my reservation - what do I do?","San Francisco, CA",Caucasian,52,tablet
negative,@AmericanAir @USAirways - I'm pregnant with twins and you're going to abandon me overnight in an airport? No hotel? When it's your fault?,"Sacramento, CA",Hispanic,26,tablet
positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,"Chicago, IL",Native American,39,tablet
neutral,@united tried that. Cannot figure out where to go to get it.,"Tucson, AZ",Hispanic,24,mobile
negative,@united except all of that delayed the flight anyway.,"Indianapolis, IN",African American,49,mobile
negative,@JetBlue get flight 16 into the air,"Buffalo, NY",African American,36,tablet
negative,@united let me assure you my travel time is 4h2m not 5h2m #timezones #accuratetraveltimes #3rdtimethishashappened http://t.co/e0C9bI09cf,"Charlotte, NC",Caucasian,63,mobile
positive,@united : thanks! i will catch my conection! :),"Jersey City, NJ",African American,48,tablet
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/aJM3BhJVaa” #foh,"Columbus, OH",Hispanic,37,tablet
positive,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,"Detroit, MI",African American,64,tablet
negative,@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?,"Akron, OH",African American,49,tablet
negative,@USAirways sits on a throne of lies,"Garland, TX",Hispanic,49,mobile
negative,@SouthwestAir 3 flights Cancelled Flightled today. Now we have been on hold for over an hour!,"Orlando, FL",Caucasian,34,mobile
negative,@SouthwestAir Late Flightly you've always been Late Flight! Please get back to the old #SWA!!,"Wichita, KS",Caucasian,47,mobile
negative,@AmericanAir My ex-boyfriend picks up my calls more than you do! #Cancelled Flightedflight #nocustomerservice #americanairlines #FAIL,"Anchorage, AK",Caucasian,34,tablet
positive,@SouthwestAir I WOULD DO ANYTHING FOR tickets to the VEGAS... ANYTHING. I love imagine dragons so much!!,"Baltimore, MD",Asian,43,tablet
positive,"@SouthwestAir thanks for your attention, I've been flying southwest for 3 years and haven't had this issue in the past.","Boston, MA",Hispanic,63,tablet
negative,"@USAirways never let's me down, every. Single. Flight. Gets delayed.","Fresno, CA",African American,64,mobile
neutral,@USAirways me and my wife will be flying out of atlanta to vegas on March 7th since couldn't get any out of tricities here in Tn,"Rochester, NY",Asian,34,mobile
negative,"@united 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience","Minneapolis, MN",Hispanic,51,mobile
neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,"Denver, CO",Caucasian,49,laptop
negative,@SouthwestAir I'm in line at the airport right now. Will you cover hotel fair or am I to sleep in the airport?,"Greensboro, NC",African American,47,tablet
negative,@JetBlue I don't know- no one would tell me where they were coming from - I would guess so as that's where we had all the changes to flights,"Wichita, KS",Caucasian,49,tablet
neutral,@AmericanAir no worries you're swamped I know just dmd back THANK U,"San Diego, CA",Hispanic,56,laptop
neutral,@SouthwestAir i forgot to put my tsa pre number in before I checked in. It is now in my profile but will it be on my boarding pass in the am,"Henderson, NV",African American,40,tablet
neutral,@SouthwestAir have five people shown up yet,"Fort Worth, TX",African American,49,tablet
negative,@AmericanAir I've never had anything bad to say until now. No love for faithful customers.,"Fort Wayne, IN",Native American,51,laptop
neutral,@SouthwestAir : Hello..are flights taking off from @DallasLoveField airport this noon. Am supposed to travel on flight 376 to San antonio,"Chula Vista, CA",Asian,22,laptop
positive,"@SouthwestAir I love and appreciate the fact that you guys rarely Cancelled Flight flights and are on time, but I need a Cancelled Flightlation this time. 🙏","Hialeah, FL",Caucasian,64,tablet
neutral,@AmericanAir Connection is US2065,"Aurora, CO",African American,64,mobile
positive,@united all good man it isn't your fault that plane is having maintenance issues,"Albuquerque, NM",African American,34,laptop
negative,"@AmericanAir while I'm sensitive to this fact, I don't believe that warrants poor service. A little help &amp; compassion goes a long way.","Lincoln, NE",Caucasian,28,mobile
negative,"@jetblue all your online resources  say we're on time, but clearly we are not.  This is not very information age of you...","Kansas City, MO",Hispanic,60,mobile
negative,@united You make it hard to fly with you. Delayed over an hour and now the plane  is turning around &amp; heading back to the gate. #connection?,"Denver, CO",African American,64,mobile
negative,@USAirways your people are kind and hardworking the infrastructure you have given them is horrid #massivefail #failphone #fail,"Lubbock, TX",Caucasian,56,tablet
positive,@JetBlue THANKS!! Her 80th bday is Saturday. We're having an aviation themed surprise party for her.,"Portland, OR",Hispanic,63,mobile
positive,@JetBlue Airways Reveals 'Bluemanity' Livery - TravelPulse http://t.co/fTTfyFMvCO,"Los Angeles, CA",Hispanic,35,mobile
negative,@USAirways @JosephTReis Dont bother. They dont pick up the phone. Worst customer service going,"Plano, TX",Asian,55,mobile
neutral,@AmericanAir Are you expecting any delays out of #DFW tomorrow morning?,"Miami, FL",Hispanic,49,laptop
negative,@USAirways flight 1808 is not leaving at 2:45 because we haven't even begun to board yet. Please update your website ASAP,"Washington, D.C.",Hispanic,31,mobile
negative,@AmericanAir what an incredibly arrogant thing to say while I sit here at O'Hare waiting for your incompetent airlines to refuel on a...,"Austin, TX",African American,24,tablet
neutral,@JetBlue Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,"Pittsburgh, PA",Asian,36,mobile
positive,@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!,"Miami, FL",African American,59,mobile
negative,@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL,"Plano, TX",Caucasian,26,laptop
negative,@united it is cool. Your customer told me they didn't care either. It is expected,"New York, NY",African American,49,tablet
neutral,@SouthwestAir when does today's scavenger hunt start? I'm trying to help my little brother win! #DestinationDragons,"Winston-Salem, NC",Caucasian,18,laptop
negative,@united &lt;&lt;&lt;&lt;&lt;------- shoddy customer service. Of no use whatsoever. #unitedairline,"Mesa, AZ",African American,44,laptop
negative,@JetBlue Any option for luggage assistance on the ground at HPN? Flight 2168 delayed 2+ hours &amp; we will have 2 sleeping kids when we land,"Akron, OH",Caucasian,52,tablet
neutral,@SouthwestAir I DM'd you,"Pittsburgh, PA",African American,27,mobile
negative,"@united yep—used that twice; no case id numbers assigned; just tried it again-get screen that says, “thank you for submitting your request”","Lincoln, NE",African American,49,tablet
positive,@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!,"Lexington, KY",Asian,49,mobile
negative,@AmericanAir you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd,"Jersey City, NJ",Hispanic,15,mobile
positive,@SouthwestAir your employees were great!,"Saint Paul, MN",Caucasian,20,laptop
negative,@AmericanAir @SouljaCoy what is AA going to do to fix their utterly embarrassing customer service? You won't even answer the dang phone!,"San Diego, CA",African American,65,tablet
neutral,@SouthwestAir Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!,"Atlanta, GA",Caucasian,31,mobile
negative,@USAirways doesn't want me to get home,"Omaha, NE",African American,47,laptop
negative,@USAirways The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?,"Greensboro, NC",Caucasian,50,mobile
negative,@JetBlue I'm sitting on the plane. Too many predictable mechanical problems.  Still onboard. This is getting bad...,"Philadelphia, PA",Hispanic,15,tablet
neutral,@USAirways @shivadelrahim what about upgrades?,"Oakland, CA",Caucasian,58,mobile
